"Trace 0, x; Trace 1, x","Trace 0, y","Trace 1, y",
5/10/2017,69.31,68.78634731,0.755522567
5/9/2017,69.04,69.27333058,0.337964346
5/8/2017,68.94,69.47648411,0.778189892
5/5/2017,69,69.6025401,0.873246519
5/4/2017,68.81,68.97211795,0.235602306
5/3/2017,69.08,68.88048471,0.288817734
5/2/2017,69.3,68.86777008,0.623708397
5/1/2017,69.41,69.17951415,0.332064326
4/28/2017,68.46,68.95319131,0.720407984
4/27/2017,68.27,68.74662729,0.69815042
4/26/2017,67.83,68.69077756,1.269021909
4/25/2017,67.92,68.2652791,0.508361461
4/24/2017,67.53,67.9319426,0.595205984
4/21/2017,66.4,68.00054691,2.410462211
4/20/2017,65.5,67.83657486,3.567289868
4/19/2017,65.04,66.55518642,2.329622418
4/18/2017,65.39,65.71247233,0.493152362
4/17/2017,65.48,65.7007709,0.337157764
4/13/2017,64.95,65.77806025,1.274919555
4/12/2017,65.23,65.33590583,0.162357547
4/11/2017,65.48,65.47958155,0.000639055
4/10/2017,65.53,66.08995822,0.854506661
4/7/2017,65.68,65.82411112,0.219414004
4/6/2017,65.73,65.89290383,0.24783786
4/5/2017,65.56,66.02692137,0.712204652
4/4/2017,65.73,66.24617836,0.785301013
4/3/2017,65.55,65.97756988,0.652280524
3/31/2017,65.86,65.78476894,0.114228754
3/30/2017,65.71,65.93032471,0.335298595
3/29/2017,65.47,65.77668702,0.468439007
3/28/2017,65.29,65.96121977,1.028059082
3/27/2017,65.1,66.00880681,1.396016603
3/24/2017,64.98,65.26783848,0.442964734
3/23/2017,64.87,64.46439437,0.625259178
3/22/2017,65.03,64.96853378,0.094519796
3/21/2017,64.21,64.57061003,0.561610385
3/20/2017,64.93,64.75051234,0.27643256
3/17/2017,64.87,64.92982722,0.092226327
3/16/2017,64.64,64.81805973,0.275463685
3/15/2017,64.75,65.0461121,0.457315982
3/14/2017,64.41,64.43981712,0.046292695
3/13/2017,64.71,64.74147712,0.048643355
3/10/2017,64.93,64.46971125,0.708899976
3/9/2017,64.73,65.02113158,0.449762985
3/8/2017,64.99,64.66854421,0.494623465
3/7/2017,64.4,64.84913696,0.697417641
3/6/2017,64.27,64.46680794,0.306220533
3/3/2017,64.25,63.86265519,0.602871299
3/2/2017,64.01,63.65309623,0.557575015
3/1/2017,64.94,64.2303412,1.092791506
2/28/2017,63.98,64.56532958,0.914863359
2/27/2017,64.23,64.15482055,0.11704725
2/24/2017,64.62,64.02971761,0.913467029
2/23/2017,64.62,64.38826337,0.358614411
2/22/2017,64.36,64.84397721,0.751984483
2/21/2017,64.49,64.36005452,0.201497107
2/17/2017,64.62,64.72667778,0.165084774
2/16/2017,64.52,64.39187892,0.198575763
2/15/2017,64.53,64.48490566,0.069881195
2/14/2017,64.57,64.28472555,0.441806482
2/13/2017,64.72,64.34815531,0.574543709
2/10/2017,64,64.34692952,0.542077373
2/9/2017,64.06,64.01439099,0.071197329
2/8/2017,63.34,63.93558191,0.940293513
2/7/2017,63.43,63.41102454,0.029915585
2/6/2017,63.64,63.55870275,0.127745516
2/3/2017,63.68,63.63405586,0.072148457
2/2/2017,63.17,63.73021912,0.886843626
2/1/2017,63.58,63.84081833,0.410220722
1/31/2017,64.65,63.55404337,1.695215212
1/30/2017,65.13,64.35473639,1.190332584
1/27/2017,65.78,64.54118922,1.883263581
1/26/2017,64.27,64.9817706,1.107469421
1/25/2017,63.68,64.66988047,1.554460538
1/24/2017,63.52,63.65247952,0.208563479
1/23/2017,62.96,63.02454724,0.102521023
1/20/2017,62.74,63.02593522,0.455746285
1/19/2017,62.3,62.73633934,0.700384177
1/18/2017,62.5,62.12946712,0.592852608
